model	variable	mean_delta_loss
RF	Adlercreutzia	0
RF	Agathobacter	0
RF	Akkermansia	0
RF	Anaerobutyricum	0
RF	Anaerostipes	0
RF	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0
RF	Bacteria_Bacillota_Bacilli_RF39__	0
RF	Bacteria_Bacillota_Clostridia_Clostridia.UCG.014__	0
RF	Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_	0
RF	Bacteria_Bacillota_Clostridia_Oscillospirales_.Eubacterium..coprostanoligenes.group_	0
RF	Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_	0
RF	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_	0
RF	Bacteroides	0
RF	Bifidobacterium	0
RF	Blautia	0
RF	Butyrivibrio	0
RF	CAG.352	0
RF	CAG.56	0
RF	CHKCI002	0
RF	Catenibacterium	0
XGB	Adlercreutzia	0
XGB	Agathobacter	0
XGB	Akkermansia	0
XGB	Anaerobutyricum	0
XGB	Anaerostipes	0
XGB	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0
XGB	Bacteria_Bacillota_Bacilli_RF39__	0
XGB	Bacteria_Bacillota_Clostridia_Clostridia.UCG.014__	0
XGB	Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_	0
XGB	Bacteria_Bacillota_Clostridia_Oscillospirales_.Eubacterium..coprostanoligenes.group_	0
XGB	Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_	0
XGB	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_	0
XGB	Bacteroides	0
XGB	Bifidobacterium	0
XGB	Blautia	0
XGB	Butyrivibrio	0
XGB	CAG.352	0
XGB	CAG.56	0
XGB	CHKCI002	0
XGB	Catenibacterium	0
