variable	mean_shap	direction	n_models
Segatella	0.03764705882352941	1	2
Anaerobutyricum	0.0323235294117647	-1	2
Intestinimonas	0.022558823529411763	1	2
Ruminococcus	0.012499999999999999	1	2
Bifidobacterium	0.011529411764705882	-1	2
Lachnospiraceae.ND3007.group	0.01011764705882353	1	2
Faecalibacterium	0.009764705882352941	1	2
Mogibacterium	0.00823529411764706	1	2
Dialister	0.008205882352941177	1	2
Romboutsia	0.00711764705882353	-1	2
NK4A214.group	0.005823529411764706	1	2
Rikenellaceae.RC9.gut.group	0.005764705882352942	1	2
Enterococcus	0.005558823529411764	-1	2
Holdemanella	0.005441176470588235	1	2
Bacteroides	0.004676470588235295	-1	2
Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.004294117647058824	-1	2
Sarcina	0.004	-1	2
Ligilactobacillus	0.003823529411764706	-1	2
CHKCI002	0.003647058823529412	-1	2
Fusicatenibacter	0.0035000000000000005	-1	2
Blautia	0.0034999999999999996	-1	2
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_	0.003470588235294118	-1	2
Akkermansia	0.003323529411764706	-1	2
Escherichia.Shigella	0.003029411764705882	1	2
Erysipelotrichaceae.UCG.003	0.002852941176470589	-1	2
Collinsella	0.002823529411764706	-1	2
Terrisporobacter	0.002735294117647059	-1	2
UCG.002	0.0022941176470588232	1	2
Roseburia	0.002147058823529412	1	2
Dorea	0.0021176470588235297	-1	2
Mediterraneibacter	0.0019411764705882359	1	2
Megasphaera	0.001911764705882353	-1	2
Parolsenella	0.0017647058823529417	-1	2
Streptococcus	0.0017058823529411758	-1	2
Adlercreutzia	0.0016176470588235303	1	2
Lactococcus	0.0014411764705882354	-1	2
Tractidigestivibacter	0.0013529411764705876	-1	2
Bacteria_Bacillota_Clostridia_Oscillospirales_Ruminococcaceae_	0.001323529411764706	1	2
X.Ruminococcus..gauvreauii.group	0.0012941176470588234	-1	2
Slackia	0.001235294117647059	1	2
CAG.56	0.001088235294117647	-1	2
Leyella	0.0010588235294117648	-1	2
Catenibacterium	0.0010588235294117642	-1	2
Anaerostipes	9.411764705882356e-4	1	2
Methanobrevibacter	9.411764705882352e-4	1	2
Klebsiella	9.411764705882351e-4	1	2
Coprococcus	8.529411764705883e-4	-1	2
Enterobacter	8.529411764705882e-4	-1	2
Senegalimassilia	8.235294117647066e-4	-1	2
Clostridium	6.176470588235295e-4	-1	2
Catenisphaera	3.8235294117647093e-4	1	2
Agathobacter	0	NA	2
Bacteria_Bacillota_Bacilli_RF39__	0	NA	2
Bacteria_Bacillota_Clostridia_Clostridia.UCG.014__	0	NA	2
Bacteria_Bacillota_Clostridia_Lachnospirales_Lachnospiraceae_	0	NA	2
Bacteria_Bacillota_Clostridia_Oscillospirales_.Eubacterium..coprostanoligenes.group_	0	NA	2
Butyrivibrio	0	NA	2
CAG.352	0	NA	2
Christensenellaceae.R.7.group	0	NA	2
Family.XIII.AD3011.group	0	NA	2
Gemmiger	0	NA	2
Intestinibacter	0	NA	2
Lachnospiraceae.NK3A20.group	0	NA	2
Marvinbryantia	0	NA	2
Methanosphaera	0	NA	2
Olsenella	0	NA	2
Solobacterium	0	NA	2
Succinivibrio	0	NA	2
Turicibacter	0	NA	2
