source	target	weight
Segatella	Faecalibacterium	0.29658624281737855
Sarcina	CHKCI002	0.28067647223805947
Lachnospiraceae.ND3007.group	Ligilactobacillus	0.2479872066585846
Intestinimonas	Rikenellaceae.RC9.gut.group	0.2194615090329273
Anaerobutyricum	Rikenellaceae.RC9.gut.group	0.2061993265910408
Anaerobutyricum	Romboutsia	0.19729506355512091
Bifidobacterium	Romboutsia	0.19322872315335732
Bacteroides	CHKCI002	0.17931694207106091
Bacteroides	Sarcina	0.17847051642722972
Segatella	Ligilactobacillus	0.17034869291059623
Faecalibacterium	Holdemanella	0.1653302608071455
Anaerobutyricum	Intestinimonas	0.163251638247544
Mogibacterium	Dialister	0.15569570040171396
Anaerobutyricum	Bifidobacterium	0.1555274644294631
Holdemanella	Sarcina	0.15176806979251672
Intestinimonas	Bifidobacterium	0.14981264784331122
Segatella	Lachnospiraceae.ND3007.group	0.14868171368761995
Dialister	CHKCI002	0.14855011035200114
Dialister	Rikenellaceae.RC9.gut.group	0.14715089443357576
Dialister	Sarcina	0.13418867084224032
Bifidobacterium	Mogibacterium	0.1338727961060377
Rikenellaceae.RC9.gut.group	CHKCI002	0.13371784079890148
Bifidobacterium	Rikenellaceae.RC9.gut.group	0.13368003324204128
Holdemanella	CHKCI002	0.1335013580748342
Rikenellaceae.RC9.gut.group	Fusicatenibacter	0.13037454274523794
Mogibacterium	Romboutsia	0.13035749134154573
Intestinimonas	Enterococcus	0.12599562308592352
Segatella	Ruminococcus	0.12231222857176302
Holdemanella	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.12152551910996313
Intestinimonas	CHKCI002	0.11605323965242359
Lachnospiraceae.ND3007.group	Faecalibacterium	0.11540278510392973
Romboutsia	Rikenellaceae.RC9.gut.group	0.11510528718637848
Lachnospiraceae.ND3007.group	Holdemanella	0.11310151394809892
Faecalibacterium	Ligilactobacillus	0.1127635429298344
Bifidobacterium	Enterococcus	0.1127012267712229
Bacteroides	Ligilactobacillus	0.11039844188102127
Anaerobutyricum	Faecalibacterium	0.10234809943425993
Faecalibacterium	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.10212348984954711
Enterococcus	Ligilactobacillus	0.10006395233097957
Enterococcus	Bacteroides	0.09944584991160424
Ruminococcus	Ligilactobacillus	0.09786961104081773
Lachnospiraceae.ND3007.group	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.09751012498447269
Lachnospiraceae.ND3007.group	CHKCI002	0.09739699818488375
Mogibacterium	Rikenellaceae.RC9.gut.group	0.09683252079235849
Anaerobutyricum	Dialister	0.09635092856347965
Segatella	Bifidobacterium	0.09460702721428584
Holdemanella	Bacteroides	0.09436303551728425
Bifidobacterium	Faecalibacterium	0.09377937009453768
Sarcina	Ligilactobacillus	0.0933342069387025
Segatella	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.09323378259628867
Anaerobutyricum	Mogibacterium	0.08974959604764635
Segatella	Mogibacterium	0.08951986359528014
Lachnospiraceae.ND3007.group	Fusicatenibacter	0.08940924292680943
Intestinimonas	NK4A214.group	0.08807588856453308
Ruminococcus	NK4A214.group	0.08799936191676166
Dialister	Bacteroides	0.0879940370947572
Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	Ligilactobacillus	0.085865392598993
NK4A214.group	Enterococcus	0.08205848746190669
Lachnospiraceae.ND3007.group	Enterococcus	0.08125922229586899
Segatella	Enterococcus	0.07871545707951569
Intestinimonas	Lachnospiraceae.ND3007.group	0.07755668804750573
NK4A214.group	Rikenellaceae.RC9.gut.group	0.07666369154422217
Segatella	Dialister	0.07653823635212083
Rikenellaceae.RC9.gut.group	Sarcina	0.07572708388467128
Mogibacterium	Sarcina	0.07518921156689384
Lachnospiraceae.ND3007.group	Sarcina	0.07514434289061059
Holdemanella	Fusicatenibacter	0.07489319031497524
Segatella	Holdemanella	0.07436595120327405
Rikenellaceae.RC9.gut.group	Holdemanella	0.073013388141559
Intestinimonas	Romboutsia	0.07038910704143625
Faecalibacterium	Enterococcus	0.06903778122753436
Segatella	Anaerobutyricum	0.06859671253882758
Ruminococcus	Bacteroides	0.06772566062740085
Bifidobacterium	Lachnospiraceae.ND3007.group	0.06689525479704855
Anaerobutyricum	Fusicatenibacter	0.06656241053911008
Romboutsia	Enterococcus	0.06604448695983332
Mogibacterium	Fusicatenibacter	0.06586459981873456
Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	Sarcina	0.06539963423846679
Faecalibacterium	Bacteroides	0.06433297361945847
Intestinimonas	Mogibacterium	0.06367526082183574
Enterococcus	CHKCI002	0.06324454106738517
Ligilactobacillus	CHKCI002	0.06278201374638387
Segatella	CHKCI002	0.06209803758345596
Ruminococcus	Holdemanella	0.06150185178470628
Ruminococcus	CHKCI002	0.061211158870134674
Faecalibacterium	Rikenellaceae.RC9.gut.group	0.06071632243020672
Faecalibacterium	Romboutsia	0.0592856848407719
Mogibacterium	Enterococcus	0.0591866982252643
Faecalibacterium	Fusicatenibacter	0.059179418338889525
Anaerobutyricum	Lachnospiraceae.ND3007.group	0.0587933751877954
Segatella	Bacteroides	0.05815649143934894
Intestinimonas	Sarcina	0.05759545931899932
Ruminococcus	Mogibacterium	0.05751453710022897
Lachnospiraceae.ND3007.group	Bacteroides	0.056395999777456136
Lachnospiraceae.ND3007.group	Dialister	0.054540864760618174
Segatella	Rikenellaceae.RC9.gut.group	0.05283397837106605
Anaerobutyricum	Enterococcus	0.05245999928665256
Mogibacterium	Ligilactobacillus	0.05234587012783473
Intestinimonas	Dialister	0.052186221290190876
Ruminococcus	Bifidobacterium	0.051201151337434775
Bifidobacterium	Fusicatenibacter	0.051125883650526754
Mogibacterium	CHKCI002	0.0502648213835495
Ruminococcus	Faecalibacterium	0.04970071197885019
Intestinimonas	Ligilactobacillus	0.04925980693687483
Holdemanella	Ligilactobacillus	0.0485671040536422
Faecalibacterium	Sarcina	0.04829859400282753
Intestinimonas	Bacteroides	0.04777772151784067
Segatella	Fusicatenibacter	0.047609260798952904
Dialister	Ligilactobacillus	0.04606350450095423
Bifidobacterium	CHKCI002	0.04564560186888404
Intestinimonas	Fusicatenibacter	0.04506500359769875
Ruminococcus	Lachnospiraceae.ND3007.group	0.04485653346859389
Intestinimonas	Holdemanella	0.04223630270554376
Bacteroides	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.04153550255086162
CHKCI002	Fusicatenibacter	0.04144325688016584
Dialister	Fusicatenibacter	0.04098931972447936
Mogibacterium	Bacteroides	0.04097825547123801
Faecalibacterium	CHKCI002	0.04077322668724551
Intestinimonas	Faecalibacterium	0.04056555669877262
Enterococcus	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.0395830143389488
Bifidobacterium	Holdemanella	0.03812166103844092
Anaerobutyricum	NK4A214.group	0.037608480722472734
Romboutsia	CHKCI002	0.03757575892452413
Dialister	Holdemanella	0.03709769020594254
Segatella	Sarcina	0.0370431972769392
Bifidobacterium	Ligilactobacillus	0.03594366954243852
Bifidobacterium	Dialister	0.03555820502307305
NK4A214.group	Fusicatenibacter	0.03553085072037459
NK4A214.group	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.03546143836675461
Segatella	Intestinimonas	0.03504516328883191
NK4A214.group	CHKCI002	0.03479001613670142
Anaerobutyricum	Holdemanella	0.03452958696465698
Segatella	Romboutsia	0.034071210513948014
Romboutsia	Fusicatenibacter	0.03366975084809265
Anaerobutyricum	CHKCI002	0.033658565145860214
Anaerobutyricum	Ruminococcus	0.0321423959209957
Lachnospiraceae.ND3007.group	Mogibacterium	0.032037707733519244
Sarcina	Fusicatenibacter	0.031776745336639295
Dialister	Romboutsia	0.029464837357081754
Ruminococcus	Fusicatenibacter	0.02936447676572082
Ligilactobacillus	Fusicatenibacter	0.02865311088526618
Dialister	Enterococcus	0.028441332385864604
Rikenellaceae.RC9.gut.group	Bacteroides	0.02761615667223394
Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	CHKCI002	0.02717088198996727
Bacteroides	Fusicatenibacter	0.025697498394790415
Ruminococcus	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.025233892970538713
Ruminococcus	Enterococcus	0.0251843513379234
Dialister	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.024542345266198806
Intestinimonas	Ruminococcus	0.023968094214415897
Faecalibacterium	Mogibacterium	0.02150610273547089
Lachnospiraceae.ND3007.group	Rikenellaceae.RC9.gut.group	0.02108074929035097
Ruminococcus	Dialister	0.02099999611874924
Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	Fusicatenibacter	0.01997867165496106
Romboutsia	Holdemanella	0.019839498756338128
Lachnospiraceae.ND3007.group	Romboutsia	0.018548833250370184
NK4A214.group	Bacteroides	0.01699854246921332
Mogibacterium	Holdemanella	0.016432307904531082
Anaerobutyricum	Bacteroides	0.016029228998585957
Faecalibacterium	Dialister	0.015808222074656885
Ruminococcus	Sarcina	0.015723508131151948
Rikenellaceae.RC9.gut.group	Enterococcus	0.015337215210886197
Dialister	NK4A214.group	0.014573058863114118
Lachnospiraceae.ND3007.group	NK4A214.group	0.013607651834920034
Bifidobacterium	Sarcina	0.012794175779359703
Ruminococcus	Romboutsia	0.012755151123154056
Romboutsia	NK4A214.group	0.011889453193389765
Anaerobutyricum	Ligilactobacillus	0.01143321525919136
Anaerobutyricum	Sarcina	0.010612086501906223
Bifidobacterium	Bacteroides	0.007392024027332656
Intestinimonas	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.0069918235211928435
Mogibacterium	NK4A214.group	0.006836147329585358
Enterococcus	Sarcina	0.006135309698461426
Ruminococcus	Rikenellaceae.RC9.gut.group	0.005869157256942109
Mogibacterium	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.005819157025094045
NK4A214.group	Holdemanella	0.005204883811891661
Enterococcus	Holdemanella	0.005017388407280424
Rikenellaceae.RC9.gut.group	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.0043278745642316456
Faecalibacterium	NK4A214.group	0.003933064469866887
NK4A214.group	Ligilactobacillus	0.003379581592642122
Romboutsia	Sarcina	0.003067002523293506
Bifidobacterium	NK4A214.group	0.0020733920276692925
Romboutsia	Bacteroides	0.0017313258344023134
Romboutsia	Ligilactobacillus	5.534251328276902e-4
Bifidobacterium	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	4.7283982724199964e-4
NK4A214.group	Sarcina	3.0226329133935384e-4
Romboutsia	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	2.085370375852114e-4
Rikenellaceae.RC9.gut.group	Ligilactobacillus	5.712731460978835e-5
Segatella	NK4A214.group	1.145132214107208e-5
Anaerobutyricum	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	7.575831704181265e-6
Enterococcus	Fusicatenibacter	1.5300462902585038e-6
