variable	total_importance	synergy_frac	redundancy_frac	independence_frac	synergy_value	redundancy_value	independence_value	direction	ecological_role
Segatella	0.03764705882352941	0.006704600810023625	0.17254247613476542	0.820752923055211	2.5240850108324236e-4	0.006495716748602933	0.030898933573843233	1	Pathogen
Anaerobutyricum	0.0323235294117647	0.00321082599356432	0.15094952112846777	0.8458396528779679	1.0378522843903491e-4	0.004879221285887825	0.027340522897437842	-1	Protector
Intestinimonas	0.022558823529411763	0.0043057336988473055	0.15528297135135713	0.8404112949497956	9.713228667693774e-5	0.003503001147837968	0.018958690094896858	1	Pathogen
Ruminococcus	0.012499999999999999	0.00277690266584469	0.09401933893770432	0.903203758396451	3.4711283323058625e-5	0.001175241736721304	0.011290046979955635	1	Pathogen
Bifidobacterium	0.011529411764705882	0.003408764822833572	0.14983209441886983	0.8467591407582966	3.9301053251492946e-5	0.0017274759121234402	0.009762634799330948	-1	Protector
Lachnospiraceae.ND3007.group	0.01011764705882353	0.00566893328369756	0.1594074717278144	0.834923594988488	5.7356266164469436e-5	0.0016128285374814163	0.008447462255177644	1	Pathogen
Faecalibacterium	0.009764705882352941	0.007949215828561961	0.1604601554389931	0.8315906287324449	7.762175456125208e-5	0.0015668462236984033	0.008120237904093285	1	Pathogen
Mogibacterium	0.00823529411764706	0.005651968767499833	0.13083298281235	0.8635150484201501	4.654562514411628e-5	0.0010774480937487648	0.007111300398754178	1	Pathogen
Dialister	0.008205882352941177	0	0.13123517638008553	0.8687648236199145	0	0.0010769004179424667	0.007128981934998711	1	Pathogen
Romboutsia	0.00711764705882353	0.010127786916557387	0.10879378653291304	0.8810784265505296	7.208601275902611e-5	7.743557747342634e-4	0.006271205271330241	-1	Protector
NK4A214.group	0.005823529411764706	0.011904427044464755	0.0586185136981021	0.9294770592574332	6.932578102364768e-5	3.4136663859482986e-4	0.005412836992146229	1	Pathogen
Rikenellaceae.RC9.gut.group	0.005764705882352942	0.010498908294236884	0.16725551541280836	0.8222455762929548	6.0523118402071455e-5	9.641788535561895e-4	0.004740003910394681	1	Pathogen
Enterococcus	0.005558823529411764	0.006831497121529482	0.11695548127855912	0.8762130215999114	3.797508694026682e-5	6.501348812249315e-4	0.004870713561246565	-1	Protector
Holdemanella	0.005441176470588235	0.011700987467244213	0.1384568925331583	0.8498421199995975	6.366713768941704e-5	7.533683858421847e-4	0.004624140947056633	1	Pathogen
Bacteroides	0.004676470588235295	0.0029939966848808695	0.1285308538861203	0.8684751494289988	1.4001337438119363e-5	6.010707578792097e-4	0.004061398492917966	-1	Protector
Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.004294117647058824	0.012645465218405247	0.08324701612421262	0.9041075186573821	5.430111534962254e-5	3.574724810039719e-4	0.0038823440507052298	-1	Protector
Sarcina	0.004	0.021228423672143466	0.14202472248028067	0.8367468538475759	8.491369468857387e-5	5.680988899211226e-4	0.0033469874153903034	-1	Protector
Ligilactobacillus	0.003823529411764706	0.007675267497679152	0.14289339515470173	0.8494313373476191	2.9346611020537935e-5	5.463570991209184e-4	0.0032478257016232497	-1	Protector
CHKCI002	0.003647058823529412	0.0043572570382253584	0.17354587228937662	0.822096870672398	1.5891172727645427e-5	6.329320048200796e-4	0.002998235645981687	-1	Protector
Fusicatenibacter	0.0035000000000000005	0.003547095588155667	0.09655172664739083	0.8999011777644536	1.2414834558544836e-5	3.379310432658679e-4	0.003149654122175588	-1	Protector
