source	target	weight
Faecalibacterium	Romboutsia	0.05175816960428177
Bifidobacterium	Sarcina	0.04193182315528177
Rikenellaceae.RC9.gut.group	Ligilactobacillus	0.03536624522441208
Segatella	NK4A214.group	0.03246063451289335
Anaerobutyricum	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.03115918627542222
Segatella	Sarcina	0.030996171783142817
Faecalibacterium	NK4A214.group	0.027254447796627362
Mogibacterium	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.026115195786157536
Faecalibacterium	Mogibacterium	0.02579324016336191
Ligilactobacillus	CHKCI002	0.02507221551793852
Enterococcus	Fusicatenibacter	0.024911052161891104
Anaerobutyricum	Holdemanella	0.024656262116874314
Ruminococcus	Enterococcus	0.022019263638357347
Romboutsia	Sarcina	0.02197868518411468
Segatella	Holdemanella	0.02187483337053772
Intestinimonas	Lachnospiraceae.ND3007.group	0.020368532773701997
Segatella	Romboutsia	0.018487937551301046
Intestinimonas	Holdemanella	0.01795419095843279
Lachnospiraceae.ND3007.group	Rikenellaceae.RC9.gut.group	0.017457840476722598
Segatella	Bifidobacterium	0.014519056357664503
Intestinimonas	Ligilactobacillus	0.014119001747368817
Bifidobacterium	Rikenellaceae.RC9.gut.group	0.013481750851681054
Segatella	Anaerobutyricum	0.012103585594702572
Anaerobutyricum	Lachnospiraceae.ND3007.group	0.012020643503271488
Lachnospiraceae.ND3007.group	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.01170993842419736
Anaerobutyricum	Sarcina	0.010723067687243846
Bifidobacterium	Bacteroides	0.009945462732402842
Ruminococcus	Bacteria_Actinomycetota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_	0.009735675304394675
Rikenellaceae.RC9.gut.group	Enterococcus	0.009442107754973323
Segatella	Bacteroides	0.009222816918803174
Segatella	Fusicatenibacter	0.006943337067018325
Romboutsia	CHKCI002	0.004737142790349314
Anaerobutyricum	Ruminococcus	0.004220135050978271
NK4A214.group	Sarcina	0.004064210019987343
